row_index,cluster_index,cluster_representative
81,0,geodesic dreams of buckminster fuller
82,0,geodesic dreams of buckminster fuller
83,0,geodesic dreams of buckminster fuller
84,0,geodesic dreams of buckminster fuller
85,0,geodesic dreams of buckminster fuller
86,0,geodesic dreams of buckminster fuller
87,0,geodesic dreams of buckminster fuller
88,0,geodesic dreams of buckminster fuller
89,0,geodesic dreams of buckminster fuller
90,0,geodesic dreams of buckminster fuller
91,0,geodesic dreams of buckminster fuller
92,0,geodesic dreams of buckminster fuller
93,0,geodesic dreams of buckminster fuller
94,0,geodesic dreams of buckminster fuller
95,0,geodesic dreams of buckminster fuller
96,0,geodesic dreams of buckminster fuller
97,0,geodesic dreams of buckminster fuller
98,0,geodesic dreams of buckminster fuller
99,0,geodesic dreams of buckminster fuller
100,0,geodesic dreams of buckminster fuller
101,0,geodesic dreams of buckminster fuller
102,6,geodesic dreams of buckminster fuller
103,6,geodesic dreams of buckminster fuller
104,6,geodesic dreams of buckminster fuller
105,1,geodesic dreams of buckminster fuller
106,8,geodesic dreams of buckminster fuller
107,8,geodesic dreams of buckminster fuller
108,0,geodesic dreams of buckminster fuller
109,6,geodesic dreams of buckminster fuller
110,8,geodesic dreams of buckminster fuller
111,0,geodesic dreams of buckminster fuller
112,6,geodesic dreams of buckminster fuller
113,6,geodesic dreams of buckminster fuller
114,6,geodesic dreams of buckminster fuller
115,6,geodesic dreams of buckminster fuller
116,3,geodesic dreams of buckminster fuller
117,3,geodesic dreams of buckminster fuller
118,0,geodesic dreams of buckminster fuller
119,0,geodesic dreams of buckminster fuller
120,0,geodesic dreams of buckminster fuller
121,0,geodesic dreams of buckminster fuller
122,0,geodesic dreams of buckminster fuller
123,0,geodesic dreams of buckminster fuller
124,9,geodesic dreams of buckminster fuller
125,6,geodesic dreams of buckminster fuller
126,9,geodesic dreams of buckminster fuller
127,9,geodesic dreams of buckminster fuller
128,9,geodesic dreams of buckminster fuller
129,9,geodesic dreams of buckminster fuller
130,9,geodesic dreams of buckminster fuller
131,9,geodesic dreams of buckminster fuller
132,9,geodesic dreams of buckminster fuller
133,9,geodesic dreams of buckminster fuller
134,9,geodesic dreams of buckminster fuller
135,9,geodesic dreams of buckminster fuller
136,3,geodesic dreams of buckminster fuller
137,0,geodesic dreams of buckminster fuller
138,0,geodesic dreams of buckminster fuller
139,0,geodesic dreams of buckminster fuller
140,0,geodesic dreams of buckminster fuller
141,0,geodesic dreams of buckminster fuller
142,0,geodesic dreams of buckminster fuller
143,0,geodesic dreams of buckminster fuller
144,0,geodesic dreams of buckminster fuller
145,0,geodesic dreams of buckminster fuller
146,0,geodesic dreams of buckminster fuller
147,6,geodesic dreams of buckminster fuller
148,0,geodesic dreams of buckminster fuller
149,0,geodesic dreams of buckminster fuller
150,0,geodesic dreams of buckminster fuller
151,6,geodesic dreams of buckminster fuller
152,0,geodesic dreams of buckminster fuller
153,9,geodesic dreams of buckminster fuller
154,9,geodesic dreams of buckminster fuller
155,1,geodesic dreams of buckminster fuller
156,0,geodesic dreams of buckminster fuller
157,6,geodesic dreams of buckminster fuller
158,4,geodesic dreams of buckminster fuller
159,4,geodesic dreams of buckminster fuller
160,0,geodesic dreams of buckminster fuller
161,0,geodesic dreams of buckminster fuller
162,0,geodesic dreams of buckminster fuller
163,0,geodesic dreams of buckminster fuller
164,0,geodesic dreams of buckminster fuller
165,0,geodesic dreams of buckminster fuller
166,0,geodesic dreams of buckminster fuller
167,0,geodesic dreams of buckminster fuller
168,0,geodesic dreams of buckminster fuller
169,0,geodesic dreams of buckminster fuller
170,9,geodesic dreams of buckminster fuller
171,0,geodesic dreams of buckminster fuller
172,3,geodesic dreams of buckminster fuller
173,6,geodesic dreams of buckminster fuller
174,6,geodesic dreams of buckminster fuller
175,4,geodesic dreams of buckminster fuller
176,4,geodesic dreams of buckminster fuller
177,4,geodesic dreams of buckminster fuller
178,4,geodesic dreams of buckminster fuller
179,4,geodesic dreams of buckminster fuller
180,4,geodesic dreams of buckminster fuller
181,4,geodesic dreams of buckminster fuller
182,4,geodesic dreams of buckminster fuller
183,4,geodesic dreams of buckminster fuller
184,4,geodesic dreams of buckminster fuller
185,4,geodesic dreams of buckminster fuller
186,4,geodesic dreams of buckminster fuller
187,4,geodesic dreams of buckminster fuller
188,4,geodesic dreams of buckminster fuller
189,4,geodesic dreams of buckminster fuller
190,4,geodesic dreams of buckminster fuller
191,4,geodesic dreams of buckminster fuller
192,4,geodesic dreams of buckminster fuller
193,4,geodesic dreams of buckminster fuller
194,4,geodesic dreams of buckminster fuller
195,4,geodesic dreams of buckminster fuller
196,4,geodesic dreams of buckminster fuller
197,4,geodesic dreams of buckminster fuller
198,4,geodesic dreams of buckminster fuller
199,4,geodesic dreams of buckminster fuller
200,4,geodesic dreams of buckminster fuller
201,4,geodesic dreams of buckminster fuller
202,4,geodesic dreams of buckminster fuller
203,4,geodesic dreams of buckminster fuller
204,4,geodesic dreams of buckminster fuller
205,4,geodesic dreams of buckminster fuller
206,4,geodesic dreams of buckminster fuller
207,4,geodesic dreams of buckminster fuller
208,4,geodesic dreams of buckminster fuller
209,4,geodesic dreams of buckminster fuller
210,4,geodesic dreams of buckminster fuller
211,4,geodesic dreams of buckminster fuller
212,4,geodesic dreams of buckminster fuller
213,4,geodesic dreams of buckminster fuller
214,4,geodesic dreams of buckminster fuller
215,4,geodesic dreams of buckminster fuller
216,4,geodesic dreams of buckminster fuller
217,3,geodesic dreams of buckminster fuller
218,3,geodesic dreams of buckminster fuller
219,0,geodesic dreams of buckminster fuller
220,0,geodesic dreams of buckminster fuller
221,0,geodesic dreams of buckminster fuller
222,0,geodesic dreams of buckminster fuller
223,0,geodesic dreams of buckminster fuller
224,0,geodesic dreams of buckminster fuller
225,0,geodesic dreams of buckminster fuller
226,0,geodesic dreams of buckminster fuller
227,0,geodesic dreams of buckminster fuller
228,0,geodesic dreams of buckminster fuller
229,0,geodesic dreams of buckminster fuller
230,0,geodesic dreams of buckminster fuller
231,0,geodesic dreams of buckminster fuller
232,0,geodesic dreams of buckminster fuller
233,0,geodesic dreams of buckminster fuller
234,0,geodesic dreams of buckminster fuller
235,0,geodesic dreams of buckminster fuller
236,0,geodesic dreams of buckminster fuller
237,0,geodesic dreams of buckminster fuller
238,0,geodesic dreams of buckminster fuller
239,0,geodesic dreams of buckminster fuller
240,0,geodesic dreams of buckminster fuller
241,3,geodesic dreams of buckminster fuller
242,0,geodesic dreams of buckminster fuller
243,0,geodesic dreams of buckminster fuller
244,0,geodesic dreams of buckminster fuller
245,0,geodesic dreams of buckminster fuller
246,0,geodesic dreams of buckminster fuller
247,0,geodesic dreams of buckminster fuller
248,0,geodesic dreams of buckminster fuller
249,0,geodesic dreams of buckminster fuller
250,0,geodesic dreams of buckminster fuller
251,0,geodesic dreams of buckminster fuller
252,0,geodesic dreams of buckminster fuller
253,0,geodesic dreams of buckminster fuller
254,0,geodesic dreams of buckminster fuller
255,0,geodesic dreams of buckminster fuller
256,0,geodesic dreams of buckminster fuller
257,0,geodesic dreams of buckminster fuller
258,0,geodesic dreams of buckminster fuller
259,6,geodesic dreams of buckminster fuller
260,6,geodesic dreams of buckminster fuller
261,0,geodesic dreams of buckminster fuller
262,8,geodesic dreams of buckminster fuller
263,0,geodesic dreams of buckminster fuller
264,0,geodesic dreams of buckminster fuller
265,0,geodesic dreams of buckminster fuller
266,8,geodesic dreams of buckminster fuller
267,8,geodesic dreams of buckminster fuller
268,4,geodesic dreams of buckminster fuller
269,4,geodesic dreams of buckminster fuller
270,4,geodesic dreams of buckminster fuller
271,4,geodesic dreams of buckminster fuller
272,4,geodesic dreams of buckminster fuller
273,4,geodesic dreams of buckminster fuller
274,4,geodesic dreams of buckminster fuller
275,4,geodesic dreams of buckminster fuller
276,4,geodesic dreams of buckminster fuller
277,4,geodesic dreams of buckminster fuller
278,4,geodesic dreams of buckminster fuller
279,4,geodesic dreams of buckminster fuller
280,4,geodesic dreams of buckminster fuller
281,4,geodesic dreams of buckminster fuller
282,4,geodesic dreams of buckminster fuller
283,4,geodesic dreams of buckminster fuller
284,4,geodesic dreams of buckminster fuller
285,4,geodesic dreams of buckminster fuller
286,4,geodesic dreams of buckminster fuller
287,4,geodesic dreams of buckminster fuller
288,4,geodesic dreams of buckminster fuller
289,4,geodesic dreams of buckminster fuller
290,4,geodesic dreams of buckminster fuller
291,4,geodesic dreams of buckminster fuller
292,0,geodesic dreams of buckminster fuller
293,7,geodesic dreams of buckminster fuller
294,0,geodesic dreams of buckminster fuller
295,0,geodesic dreams of buckminster fuller
296,7,geodesic dreams of buckminster fuller
297,0,geodesic dreams of buckminster fuller
298,0,geodesic dreams of buckminster fuller
299,0,geodesic dreams of buckminster fuller
300,0,geodesic dreams of buckminster fuller
301,0,geodesic dreams of buckminster fuller
302,0,geodesic dreams of buckminster fuller
303,0,geodesic dreams of buckminster fuller
304,7,geodesic dreams of buckminster fuller
305,7,geodesic dreams of buckminster fuller
306,8,geodesic dreams of buckminster fuller
307,7,geodesic dreams of buckminster fuller
308,7,geodesic dreams of buckminster fuller
309,7,geodesic dreams of buckminster fuller
310,7,geodesic dreams of buckminster fuller
311,0,geodesic dreams of buckminster fuller
312,0,geodesic dreams of buckminster fuller
313,7,geodesic dreams of buckminster fuller
314,9,geodesic dreams of buckminster fuller
315,0,geodesic dreams of buckminster fuller
316,0,geodesic dreams of buckminster fuller
317,0,geodesic dreams of buckminster fuller
318,7,geodesic dreams of buckminster fuller
319,0,geodesic dreams of buckminster fuller
320,0,geodesic dreams of buckminster fuller
321,7,geodesic dreams of buckminster fuller
322,0,geodesic dreams of buckminster fuller
323,0,geodesic dreams of buckminster fuller
324,0,geodesic dreams of buckminster fuller
325,0,geodesic dreams of buckminster fuller
326,0,geodesic dreams of buckminster fuller
327,0,geodesic dreams of buckminster fuller
328,0,geodesic dreams of buckminster fuller
329,0,geodesic dreams of buckminster fuller
330,0,geodesic dreams of buckminster fuller
331,0,geodesic dreams of buckminster fuller
332,0,geodesic dreams of buckminster fuller
333,0,geodesic dreams of buckminster fuller
334,0,geodesic dreams of buckminster fuller
335,0,geodesic dreams of buckminster fuller
336,0,geodesic dreams of buckminster fuller
337,0,geodesic dreams of buckminster fuller
338,0,geodesic dreams of buckminster fuller
339,0,geodesic dreams of buckminster fuller
340,0,geodesic dreams of buckminster fuller
341,0,geodesic dreams of buckminster fuller
342,0,geodesic dreams of buckminster fuller
343,0,geodesic dreams of buckminster fuller
344,0,geodesic dreams of buckminster fuller
345,0,geodesic dreams of buckminster fuller
346,0,geodesic dreams of buckminster fuller
347,0,geodesic dreams of buckminster fuller
348,0,geodesic dreams of buckminster fuller
349,0,geodesic dreams of buckminster fuller
350,0,geodesic dreams of buckminster fuller
351,0,geodesic dreams of buckminster fuller
352,0,geodesic dreams of buckminster fuller
353,0,geodesic dreams of buckminster fuller
354,0,geodesic dreams of buckminster fuller
355,0,geodesic dreams of buckminster fuller
356,0,geodesic dreams of buckminster fuller
357,0,geodesic dreams of buckminster fuller
358,0,geodesic dreams of buckminster fuller
359,0,geodesic dreams of buckminster fuller
360,0,geodesic dreams of buckminster fuller
361,0,geodesic dreams of buckminster fuller
362,0,geodesic dreams of buckminster fuller
363,0,geodesic dreams of buckminster fuller
364,0,geodesic dreams of buckminster fuller
365,0,geodesic dreams of buckminster fuller
366,0,geodesic dreams of buckminster fuller
367,0,geodesic dreams of buckminster fuller
368,0,geodesic dreams of buckminster fuller
369,0,geodesic dreams of buckminster fuller
370,0,geodesic dreams of buckminster fuller
371,6,geodesic dreams of buckminster fuller
372,0,geodesic dreams of buckminster fuller
373,0,geodesic dreams of buckminster fuller
374,0,geodesic dreams of buckminster fuller
375,0,geodesic dreams of buckminster fuller
376,0,geodesic dreams of buckminster fuller
377,0,geodesic dreams of buckminster fuller
378,0,geodesic dreams of buckminster fuller
379,0,geodesic dreams of buckminster fuller
380,0,geodesic dreams of buckminster fuller
381,0,geodesic dreams of buckminster fuller
382,0,geodesic dreams of buckminster fuller
383,0,geodesic dreams of buckminster fuller
384,0,geodesic dreams of buckminster fuller
385,0,geodesic dreams of buckminster fuller
386,0,geodesic dreams of buckminster fuller
387,0,geodesic dreams of buckminster fuller
388,0,geodesic dreams of buckminster fuller
389,0,geodesic dreams of buckminster fuller
390,0,geodesic dreams of buckminster fuller
391,0,geodesic dreams of buckminster fuller
392,0,geodesic dreams of buckminster fuller
393,0,geodesic dreams of buckminster fuller
394,0,geodesic dreams of buckminster fuller
395,0,geodesic dreams of buckminster fuller
396,1,geodesic dreams of buckminster fuller
397,1,geodesic dreams of buckminster fuller
398,0,geodesic dreams of buckminster fuller
399,0,geodesic dreams of buckminster fuller
400,0,geodesic dreams of buckminster fuller
401,0,geodesic dreams of buckminster fuller
402,0,geodesic dreams of buckminster fuller
403,0,geodesic dreams of buckminster fuller
404,9,geodesic dreams of buckminster fuller
405,8,geodesic dreams of buckminster fuller
406,8,geodesic dreams of buckminster fuller
407,0,geodesic dreams of buckminster fuller
408,0,geodesic dreams of buckminster fuller
409,0,geodesic dreams of buckminster fuller
410,3,geodesic dreams of buckminster fuller
411,0,geodesic dreams of buckminster fuller
412,0,geodesic dreams of buckminster fuller
413,1,geodesic dreams of buckminster fuller
414,0,geodesic dreams of buckminster fuller
415,6,geodesic dreams of buckminster fuller
416,0,geodesic dreams of buckminster fuller
417,0,geodesic dreams of buckminster fuller
418,0,geodesic dreams of buckminster fuller
419,0,geodesic dreams of buckminster fuller
420,0,geodesic dreams of buckminster fuller
421,0,geodesic dreams of buckminster fuller
422,0,geodesic dreams of buckminster fuller
423,0,geodesic dreams of buckminster fuller
424,9,geodesic dreams of buckminster fuller
425,9,geodesic dreams of buckminster fuller
426,9,geodesic dreams of buckminster fuller
427,0,geodesic dreams of buckminster fuller
428,0,geodesic dreams of buckminster fuller
429,0,geodesic dreams of buckminster fuller
430,0,geodesic dreams of buckminster fuller
431,0,geodesic dreams of buckminster fuller
432,0,geodesic dreams of buckminster fuller
433,0,geodesic dreams of buckminster fuller
434,0,geodesic dreams of buckminster fuller
435,0,geodesic dreams of buckminster fuller
436,0,geodesic dreams of buckminster fuller
437,0,geodesic dreams of buckminster fuller
438,0,geodesic dreams of buckminster fuller
439,0,geodesic dreams of buckminster fuller
440,0,geodesic dreams of buckminster fuller
441,0,geodesic dreams of buckminster fuller
442,0,geodesic dreams of buckminster fuller
443,0,geodesic dreams of buckminster fuller
444,8,geodesic dreams of buckminster fuller
445,0,geodesic dreams of buckminster fuller
446,0,geodesic dreams of buckminster fuller
447,0,geodesic dreams of buckminster fuller
448,6,geodesic dreams of buckminster fuller
449,6,geodesic dreams of buckminster fuller
450,6,geodesic dreams of buckminster fuller
451,6,geodesic dreams of buckminster fuller
452,0,geodesic dreams of buckminster fuller
453,0,geodesic dreams of buckminster fuller
454,0,geodesic dreams of buckminster fuller
455,0,geodesic dreams of buckminster fuller
456,0,geodesic dreams of buckminster fuller
457,0,geodesic dreams of buckminster fuller
458,0,geodesic dreams of buckminster fuller
459,6,geodesic dreams of buckminster fuller
460,6,geodesic dreams of buckminster fuller
461,0,geodesic dreams of buckminster fuller
462,0,geodesic dreams of buckminster fuller
463,0,geodesic dreams of buckminster fuller
464,0,geodesic dreams of buckminster fuller
465,0,geodesic dreams of buckminster fuller
466,0,geodesic dreams of buckminster fuller
467,0,geodesic dreams of buckminster fuller
468,0,geodesic dreams of buckminster fuller
469,0,geodesic dreams of buckminster fuller
470,0,geodesic dreams of buckminster fuller
471,0,geodesic dreams of buckminster fuller
472,0,geodesic dreams of buckminster fuller
473,0,geodesic dreams of buckminster fuller
474,0,geodesic dreams of buckminster fuller
475,0,geodesic dreams of buckminster fuller
476,0,geodesic dreams of buckminster fuller
477,0,geodesic dreams of buckminster fuller
478,0,geodesic dreams of buckminster fuller
479,0,geodesic dreams of buckminster fuller
480,0,geodesic dreams of buckminster fuller
481,0,geodesic dreams of buckminster fuller
482,0,geodesic dreams of buckminster fuller
483,0,geodesic dreams of buckminster fuller
484,0,geodesic dreams of buckminster fuller
485,3,geodesic dreams of buckminster fuller
486,3,geodesic dreams of buckminster fuller
487,0,geodesic dreams of buckminster fuller
488,0,geodesic dreams of buckminster fuller
489,0,geodesic dreams of buckminster fuller
490,0,geodesic dreams of buckminster fuller
491,6,geodesic dreams of buckminster fuller
492,0,geodesic dreams of buckminster fuller
493,0,geodesic dreams of buckminster fuller
494,0,geodesic dreams of buckminster fuller
495,0,geodesic dreams of buckminster fuller
496,0,geodesic dreams of buckminster fuller
497,0,geodesic dreams of buckminster fuller
498,0,geodesic dreams of buckminster fuller
499,0,geodesic dreams of buckminster fuller
500,6,geodesic dreams of buckminster fuller
501,6,geodesic dreams of buckminster fuller
502,6,geodesic dreams of buckminster fuller
503,0,geodesic dreams of buckminster fuller
504,0,geodesic dreams of buckminster fuller
505,0,geodesic dreams of buckminster fuller
506,0,geodesic dreams of buckminster fuller
507,6,geodesic dreams of buckminster fuller
508,6,geodesic dreams of buckminster fuller
509,8,geodesic dreams of buckminster fuller
510,8,geodesic dreams of buckminster fuller
511,8,geodesic dreams of buckminster fuller
512,0,geodesic dreams of buckminster fuller
513,0,geodesic dreams of buckminster fuller
514,0,geodesic dreams of buckminster fuller
515,0,geodesic dreams of buckminster fuller
516,0,geodesic dreams of buckminster fuller
517,0,geodesic dreams of buckminster fuller
518,0,geodesic dreams of buckminster fuller
519,0,geodesic dreams of buckminster fuller
520,0,geodesic dreams of buckminster fuller
521,0,geodesic dreams of buckminster fuller
522,0,geodesic dreams of buckminster fuller
523,0,geodesic dreams of buckminster fuller
524,0,geodesic dreams of buckminster fuller
525,0,geodesic dreams of buckminster fuller
526,0,geodesic dreams of buckminster fuller
527,0,geodesic dreams of buckminster fuller
528,0,geodesic dreams of buckminster fuller
529,0,geodesic dreams of buckminster fuller
530,0,geodesic dreams of buckminster fuller
531,0,geodesic dreams of buckminster fuller
532,0,geodesic dreams of buckminster fuller
533,0,geodesic dreams of buckminster fuller
534,0,geodesic dreams of buckminster fuller
535,0,geodesic dreams of buckminster fuller
536,0,geodesic dreams of buckminster fuller
537,0,geodesic dreams of buckminster fuller
538,0,geodesic dreams of buckminster fuller
539,0,geodesic dreams of buckminster fuller
540,0,geodesic dreams of buckminster fuller
541,0,geodesic dreams of buckminster fuller
542,0,geodesic dreams of buckminster fuller
543,0,geodesic dreams of buckminster fuller
544,0,geodesic dreams of buckminster fuller
545,0,geodesic dreams of buckminster fuller
546,0,geodesic dreams of buckminster fuller
547,0,geodesic dreams of buckminster fuller
548,8,geodesic dreams of buckminster fuller
549,8,geodesic dreams of buckminster fuller
550,8,geodesic dreams of buckminster fuller
551,8,geodesic dreams of buckminster fuller
552,8,geodesic dreams of buckminster fuller
553,8,geodesic dreams of buckminster fuller
554,8,geodesic dreams of buckminster fuller
555,8,geodesic dreams of buckminster fuller
556,8,geodesic dreams of buckminster fuller
557,8,geodesic dreams of buckminster fuller
558,8,geodesic dreams of buckminster fuller
559,1,geodesic dreams of buckminster fuller
560,0,geodesic dreams of buckminster fuller
561,0,geodesic dreams of buckminster fuller
562,0,geodesic dreams of buckminster fuller
563,6,geodesic dreams of buckminster fuller
564,0,geodesic dreams of buckminster fuller
565,0,geodesic dreams of buckminster fuller
566,0,geodesic dreams of buckminster fuller
567,0,geodesic dreams of buckminster fuller
568,0,geodesic dreams of buckminster fuller
569,0,geodesic dreams of buckminster fuller
570,0,geodesic dreams of buckminster fuller
571,0,geodesic dreams of buckminster fuller
572,0,geodesic dreams of buckminster fuller
573,0,geodesic dreams of buckminster fuller
574,0,geodesic dreams of buckminster fuller
575,0,geodesic dreams of buckminster fuller
576,0,geodesic dreams of buckminster fuller
577,8,geodesic dreams of buckminster fuller
578,0,geodesic dreams of buckminster fuller
579,0,geodesic dreams of buckminster fuller
580,0,geodesic dreams of buckminster fuller
581,0,geodesic dreams of buckminster fuller
582,0,geodesic dreams of buckminster fuller
583,0,geodesic dreams of buckminster fuller
584,0,geodesic dreams of buckminster fuller
585,0,geodesic dreams of buckminster fuller
586,0,geodesic dreams of buckminster fuller
587,0,geodesic dreams of buckminster fuller
588,0,geodesic dreams of buckminster fuller
589,0,geodesic dreams of buckminster fuller
590,0,geodesic dreams of buckminster fuller
591,0,geodesic dreams of buckminster fuller
592,0,geodesic dreams of buckminster fuller
593,0,geodesic dreams of buckminster fuller
594,0,geodesic dreams of buckminster fuller
595,0,geodesic dreams of buckminster fuller
596,0,geodesic dreams of buckminster fuller
597,0,geodesic dreams of buckminster fuller
598,1,geodesic dreams of buckminster fuller
599,1,geodesic dreams of buckminster fuller
600,1,geodesic dreams of buckminster fuller
601,1,geodesic dreams of buckminster fuller
602,0,geodesic dreams of buckminster fuller
603,0,geodesic dreams of buckminster fuller
604,0,geodesic dreams of buckminster fuller
605,6,geodesic dreams of buckminster fuller
606,6,geodesic dreams of buckminster fuller
607,6,geodesic dreams of buckminster fuller
608,6,geodesic dreams of buckminster fuller
609,0,geodesic dreams of buckminster fuller
610,0,geodesic dreams of buckminster fuller
611,0,geodesic dreams of buckminster fuller
612,0,geodesic dreams of buckminster fuller
613,8,geodesic dreams of buckminster fuller
614,0,geodesic dreams of buckminster fuller
615,6,geodesic dreams of buckminster fuller
616,6,geodesic dreams of buckminster fuller
617,0,geodesic dreams of buckminster fuller
618,0,geodesic dreams of buckminster fuller
619,6,geodesic dreams of buckminster fuller
620,6,geodesic dreams of buckminster fuller
621,0,geodesic dreams of buckminster fuller
622,6,geodesic dreams of buckminster fuller
623,6,geodesic dreams of buckminster fuller
624,0,geodesic dreams of buckminster fuller
625,0,geodesic dreams of buckminster fuller
626,0,geodesic dreams of buckminster fuller
627,9,geodesic dreams of buckminster fuller
628,9,geodesic dreams of buckminster fuller
629,0,geodesic dreams of buckminster fuller
630,0,geodesic dreams of buckminster fuller
631,0,geodesic dreams of buckminster fuller
632,0,geodesic dreams of buckminster fuller
633,0,geodesic dreams of buckminster fuller
634,0,geodesic dreams of buckminster fuller
635,0,geodesic dreams of buckminster fuller
636,6,geodesic dreams of buckminster fuller
637,6,geodesic dreams of buckminster fuller
638,6,geodesic dreams of buckminster fuller
639,6,geodesic dreams of buckminster fuller
640,6,geodesic dreams of buckminster fuller
641,6,geodesic dreams of buckminster fuller
642,6,geodesic dreams of buckminster fuller
643,6,geodesic dreams of buckminster fuller
644,6,geodesic dreams of buckminster fuller
645,6,geodesic dreams of buckminster fuller
646,6,geodesic dreams of buckminster fuller
647,6,geodesic dreams of buckminster fuller
648,6,geodesic dreams of buckminster fuller
649,6,geodesic dreams of buckminster fuller
650,6,geodesic dreams of buckminster fuller
651,6,geodesic dreams of buckminster fuller
652,6,geodesic dreams of buckminster fuller
653,6,geodesic dreams of buckminster fuller
654,6,geodesic dreams of buckminster fuller
655,6,geodesic dreams of buckminster fuller
656,6,geodesic dreams of buckminster fuller
657,6,geodesic dreams of buckminster fuller
658,6,geodesic dreams of buckminster fuller
659,6,geodesic dreams of buckminster fuller
660,6,geodesic dreams of buckminster fuller
661,6,geodesic dreams of buckminster fuller
662,6,geodesic dreams of buckminster fuller
663,6,geodesic dreams of buckminster fuller
664,6,geodesic dreams of buckminster fuller
665,6,geodesic dreams of buckminster fuller
666,6,geodesic dreams of buckminster fuller
667,6,geodesic dreams of buckminster fuller
668,6,geodesic dreams of buckminster fuller
669,6,geodesic dreams of buckminster fuller
670,6,geodesic dreams of buckminster fuller
671,6,geodesic dreams of buckminster fuller
672,6,geodesic dreams of buckminster fuller
673,0,geodesic dreams of buckminster fuller
674,8,geodesic dreams of buckminster fuller
675,8,geodesic dreams of buckminster fuller
676,8,geodesic dreams of buckminster fuller
677,8,geodesic dreams of buckminster fuller
678,0,geodesic dreams of buckminster fuller
679,0,geodesic dreams of buckminster fuller
680,8,geodesic dreams of buckminster fuller
681,8,geodesic dreams of buckminster fuller
682,8,geodesic dreams of buckminster fuller
683,8,geodesic dreams of buckminster fuller
684,8,geodesic dreams of buckminster fuller
685,8,geodesic dreams of buckminster fuller
686,8,geodesic dreams of buckminster fuller
687,8,geodesic dreams of buckminster fuller
688,8,geodesic dreams of buckminster fuller
689,8,geodesic dreams of buckminster fuller
690,8,geodesic dreams of buckminster fuller
691,8,geodesic dreams of buckminster fuller
692,8,geodesic dreams of buckminster fuller
693,8,geodesic dreams of buckminster fuller
694,8,geodesic dreams of buckminster fuller
695,8,geodesic dreams of buckminster fuller
696,8,geodesic dreams of buckminster fuller
697,8,geodesic dreams of buckminster fuller
