topic_id,word_1,weight_word_1,word_2,weight_word_2,word_3,weight_word_3,word_4,weight_word_4,word_5,weight_word_5,word_6,weight_word_6,word_7,weight_word_7,word_8,weight_word_8,word_9,weight_word_9,word_10,weight_word_10,topic_description
10,background,0.632976,dark,1.8858502e-05,gradient,1.88585e-05,design,1.88585e-05,behind,1.88585e-05,burning,1.88585e-05,flower,1.88585e-05,storm,1.88585e-05,masked,1.88585e-05,flying,1.88585e-05,Background-focused topic or concept
11,skin,0.22099423,brown,0.16179934,contest,0.058418658,winner,0.05836975,pexels,2.5716541e-05,hair,2.5716541e-05,pale,2.5716541e-05,textures,2.5716537e-05,short,2.5716537e-05,pixabay,2.5716537e-05,Brown skin contest winner
12,parts,0.2626421,minjun,3.7887065e-05,yue,3.7887065e-05,rodcenko,3.7887065e-05,cyborg,3.788706e-05,robot,3.788706e-05,willam,3.7887057e-05,etty,3.7887057e-05,pharoah,3.7887057e-05,johanna,3.7887057e-05,Mechanical components and assemblies
13,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
14,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
15,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume themes
16,ilya,0.30927414,frank,0.21650726,frazetta,0.13464102,kuvshinov,1.745006e-05,overgrown,1.7450044e-05,kishiro,1.7450044e-05,lisa,1.7450044e-05,makoto,1.7450044e-05,face,1.7450044e-05,room,1.7450044e-05,Ilya and Frank Frazetta art
17,intricate,0.5745408,epic,0.17027183,composition,0.15049891,details,5.379686e-06,environment,5.379685e-06,beautiful,5.379685e-06,detail,5.379685e-06,artwork,5.379685e-06,willam,5.3796844e-06,cinematogrophy,5.3796844e-06,Intricate epic composition
18,wide,0.28165382,angle,0.27098176,lens,0.1739112,shot,1.40520715e-05,low,1.40520715e-05,camera,1.405207e-05,anamorphic,1.405207e-05,mm,1.405207e-05,flare,1.405207e-05,zeiss,1.405207e-05,Wide angle lens photography
19,dan,0.2852774,mumford,0.18826608,grey,0.08577146,alex,0.06951752,hattori,1.9074341e-05,josan,1.9074341e-05,dos,1.9074341e-05,mcpharlin,1.9074341e-05,inspired,1.9074341e-05,pale,1.9074341e-05,Dan Mumford and Grey artists
20,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
21,lighting,0.3167137,cinematic,0.22361794,render,0.18113185,high,0.14464355,resolution,0.031135583,poster,0.024640847,futuristic,0.015279712,scifi,0.012962694,retro,0.0092464285,product,0.0015135765,Cinematic high-resolution futuristic lighting render
22,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
23,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
24,edward,0.1761202,hopper,0.15933765,robert,3.4147375e-05,gilleard,3.4147375e-05,painted,3.4147375e-05,james,3.4147375e-05,moebius,3.4147375e-05,martine,3.414737e-05,patagonia,3.414737e-05,johanna,3.414737e-05,Edward Hopper paintings
25,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
26,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical costumes and notable figures
27,battleaxe,5.137954e-05,costumed,5.137954e-05,patagonia,5.137954e-05,willam,5.137954e-05,etty,5.137954e-05,cinematogrophy,5.137954e-05,pharoah,5.137954e-05,actually,5.137954e-05,martine,5.137954e-05,forhead,5.137954e-05,Historical figures and costume drama
28,art,0.59244514,concept,0.18938541,style,0.14523232,beksinski,0.034338724,character,1.9835888e-06,wlop,1.9835888e-06,trending,1.9835888e-06,realistic,1.9835888e-06,etty,1.9835886e-06,actually,1.9835886e-06,Art concepts and styles
29,light,0.5625302,red,0.23535681,soft,1.03855455e-05,caravaggio,1.0385544e-05,rim,1.0385544e-05,ruan,1.0385544e-05,beautiful,1.0385544e-05,jia,1.0385544e-05,kolesov,1.0385544e-05,z,1.0385544e-05,Light and red color theme
